"sellingprice","model","interior","mmr","transmission","body"
9800,"Jetta","black",9875,"automatic","Sedan"
8900,"Equinox","gray",9425,"automatic","SUV"
9300,"Envoy","gray",6975,"automatic","SUV"
550,"Equinox","gray",2825,"automatic","SUV"
9600,"Corolla","gray",9675,"automatic","Sedan"
20400,"1500","black",20900,"automatic","Quad Cab"
33800,"Expedition","gray",34800,"automatic","SUV"
4100,"Civic","blue",3600,"automatic","Sedan"
14800,"Altima","black",14450,"automatic","Sedan"
5100,"Matrix","black",5725,"automatic","hatchback"
14700,"Fusion","black",14550,"automatic","Sedan"
7700,"F-150","gray",13350,"automatic","SuperCrew"
4600,"HHR","gray",5775,"automatic","Wagon"
29000,"5 Series","gray",29100,"automatic","Sedan"
5400,"Focus","gray",10000,"automatic","hatchback"
7500,"Malibu","gray",8025,"","Sedan"
30000,"Highlander","gray",29700,"automatic","suv"
14500,"Rogue","black",14700,"automatic","suv"
1000,"Trooper","tan",1275,"automatic","SUV"
3100,"Vibe","black",3350,"automatic","Wagon"
5900,"Ram Pickup 1500","gray",5275,"automatic","Regular Cab"
12500,"Fusion","beige",12850,"automatic","Sedan"
6200,"Avenger","gray",5650,"automatic","Sedan"
19700,"G Sedan","black",19750,"automatic","G Sedan"
7000,"Escape","black",9450,"","SUV"
21800,"Impala","gray",22000,"automatic","Sedan"
21350,"Silverado 1500","black",21000,"automatic","Crew Cab"
19500,"Mazda6","black",19250,"automatic","sedan"
15500,"F-150","gray",13750,"automatic","Regular Cab"
7200,"Journey","—",6950,"automatic","SUV"
23500,"Edge","black",22600,"automatic","SUV"
7200,"Charger","black",9575,"automatic","Sedan"
2400,"Q45","—",3175,"","Sedan"
17800,"Patriot","black",17500,"","SUV"
5600,"Spectra","gray",6350,"automatic","Sedan"
11700,"FJ Cruiser","black",9875,"automatic","SUV"
15500,"Maxima","black",15600,"automatic","Sedan"
1200,"Avalon","gray",3375,"automatic","Sedan"
10100,"Malibu","gray",10850,"automatic","Sedan"
5400,"Santa Fe","gray",5725,"automatic","suv"
19900,"TL","beige",18450,"automatic","Sedan"
9100,"Cruze","black",8825,"automatic","Sedan"
14000,"Impala Limited","black",13950,"automatic","Sedan"
3200,"Altima","black",3025,"automatic","Sedan"
9700,"Fusion","black",8525,"automatic","Sedan"
8900,"Sienna","gray",8300,"automatic","Minivan"
16200,"Camry","tan",16200,"automatic","Sedan"
12300,"Focus","black",11750,"automatic","Sedan"
3400,"Murano","beige",5325,"automatic","SUV"
14400,"Escalade","black",14350,"automatic","SUV"
18200,"G Sedan","black",18100,"automatic","G Sedan"
10900,"Focus","black",11400,"automatic","sedan"
6100,"E-Class","black",4475,"","Sedan"
21000,"3 Series","black",20500,"automatic","Sedan"
1000,"Envoy","gray",1000,"automatic","SUV"
10400,"H3","black",10000,"automatic","SUV"
1600,"Altima","gray",4125,"automatic","Sedan"
8000,"Mountaineer","beige",4775,"automatic","suv"
14000,"Fusion","black",13800,"automatic","sedan"
12400,"Fusion","black",14600,"automatic","Sedan"
10600,"Versa Note","gray",11250,"automatic","Hatchback"
12800,"Cruze","black",12950,"automatic","Sedan"
2100,"Rio","gray",3050,"manual","Wagon"
18600,"Mazda6","black",18100,"","Sedan"
3900,"MDX","black",2775,"automatic","SUV"
32750,"3 Series","—",32400,"automatic","sedan"
3700,"Camry","gray",3500,"automatic","sedan"
12000,"F-250 Super Duty","gray",13000,"automatic","Crew Cab"
18900,"Murano","black",17700,"automatic","SUV"
18800,"Taurus","black",19000,"automatic","Sedan"
14500,"Compass","black",14550,"automatic","SUV"
11000,"Jetta","black",10700,"automatic","Sedan"
350,"7 Series","gray",725,"automatic","Sedan"
6200,"Malibu","gray",5525,"automatic","Sedan"
11900,"MDX","gray",12650,"","SUV"
13000,"Yukon","gray",12100,"automatic","SUV"
5500,"Cooper","black",5575,"manual","convertible"
5000,"Jetta","black",4100,"automatic","Sedan"
24500,"A4","black",21500,"automatic","Wagon"
11300,"Altima","black",12050,"automatic","sedan"
10000,"CLK-Class","gray",9875,"automatic","Convertible"
19500,"Escape","gray",18300,"automatic","SUV"
14600,"Rogue","black",15400,"automatic","SUV"
4500,"Jetta","gray",5575,"automatic","sedan"
3900,"300","gray",4600,"automatic","Sedan"
2100,"Lancer","gray",1775,"manual","Sedan"
23900,"Edge","black",23700,"automatic","SUV"
4300,"Zephyr","beige",4075,"automatic","Sedan"
19200,"Forester","gray",18900,"automatic","SUV"
9000,"Grand Cherokee","gray",8400,"automatic","SUV"
10200,"A6","black",10350,"automatic","Sedan"
25800,"Camaro","black",22900,"automatic","Convertible"
6900,"Camry","black",8450,"automatic","Sedan"
14600,"A4","beige",14550,"","Sedan"
7300,"3 Series","black",9150,"automatic","Sedan"
10700,"Altima","black",11700,"","sedan"
16700,"Wrangler","black",15650,"automatic","SUV"
1400,"Taurus","gray",1975,"automatic","Sedan"
